Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B00706,"VIC & BAY CAR SERVICE, INC",DEJOY'S RED TOP,2018,5,May,"10,225",0,29
B00446,COMMUNICAR INCORPORATED,,2020,8,August,"1,196",0,26
B02521,"PICTURE PROPERTIES, INC.",DEUCES TRANSPORT SERVICES,2018,5,May,"5,995",0,17
B00429,SURF CAR SYSTEMS INC,,2020,11,November,"2,230",0,30
B00350,CHAMPION CAR & LIMO SVC. INC.,,2019,10,October,"6,388",0,41
B01711,FLUSHING LIMO TRANSP CORP,,2016,11,November,"14,311",0,73
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2020,5,May,"3,013",0,21
b01420,A.M.N. MANAGEMENT INC.,ALWAYS READY C/S,2016,4,April,"1,999",0,16
B01081,GEORGE TOWN MANAGEMENT INC,,2018,9,September,"1,203",0,7
B00990,"MIRAGE LIMOUSINE SERVICE, INC.",UFO PVT C/L SERVICE,2017,7,July,65,0,1
B02273,BENI'S LIMOUSINE SERVICE INC,,2018,6,June,24,0,7
B02401,NORTHSIDE BK LLC,,2021,4,April,"1,660",0,31
B01985,"LUXURY WORLDWIDE TRANSPORTATION, LLC",,2019,2,February,"1,070",0,57
B02406,MY SEDAN LLC,,2019,10,October,423,0,5
B01336,BAY EXPRESS CORP.,,2016,1,January,"4,662",0,26
B00446,COMMUNICAR INCORPORATED,,2017,3,March,"5,684",0,116
B00932,NATASHAS GRP CAR CORP,,2019,1,January,"1,948",0,12
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,2018,7,July,"1,285",0,33
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2019,7,July,"1,529",0,13
B02899,NEW BLACK LUXURY CARS CORP,,2017,5,May,"12,272",0,39
B01745,AZUAY CORPORATION,CARIBE CAR SERVICE,2019,10,October,"1,212",0,10
B02287,ROAD NEW YORK ENTERPRISES INC.,DAI-ICHI LIMOUSINE,2018,9,September,184,0,7
B02971,"ULTRA BLACK CAR TRANSPORTATION, CORP.",,2021,1,January,201,0,66
B01537,S.I. SPEED INC.,,2017,11,November,"3,659",0,15
B02924,CELEBRITY LUXURY INC.,,2019,3,March,1,0,1
B01088,PAISA 2 CAR  AND LIMOUSINE SERVICE INC,,2017,11,November,166,0,4
B02670,STRIDE TRANSPORTATION INC.,,2018,5,May,882,0,48
B02207,"EASTERN LUXURY, INC.",,2017,5,May,409,0,89
B02207,"EASTERN LUXURY, INC.",,2016,6,June,538,0,92
B00889,MEXICANA CAR SERVICE INC.,,2016,2,February,"20,114",0,84
B01737,WASHINGTON RAD DISP INC,,2015,5,May,"3,750",0,40
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2019,9,September,"1,024",0,17
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2020,4,April,"9,698",0,128
B01308,LIL'D DISPATCH INC.,STRICTLY CAR SERVICE,2019,5,May,"5,386",0,25
B02279,MATAMOROS CAR SERVICE INC.,,2020,6,June,"4,110",0,14
B01066,DOMINICANA RAD DISP INC,,2017,1,January,"17,537",0,92
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2019,4,April,"3,837",0,13
B01406,GOTHAM CAR SERVICE INC.,LEGEND CAR SERVICE,2020,10,October,"1,276",0,25
B01445,J T TRANS CO INC,,2020,6,June,"1,095",0,12
B01318,LOWER EAST SIDE C/S CORP,,2019,11,November,"1,784",0,20
B00653,ROYAL CAR & LIMO SERVICE INC.,,2021,4,April,192,0,3
B00446,COMMUNICAR INCORPORATED,,2018,4,April,"4,066",0,95
B02460,CABOT LIMO NY CORP.,,2019,3,March,614,0,9
B02841,"SKYWAY EXECUTIVE SERVICE, INC",,2017,12,December,513,0,7
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2018,7,July,"3,702",0,26
B01016,810 CAR SVCE CORP,,2017,5,May,"16,421",0,63
B02429,SEAGULL RIDE CORP,,2020,9,September,"3,845",0,12
B03286,"MITA LIMOUSINE, INC.",,2021,3,March,169,0,9
B03174,NEW HEAVEN LUXURY INC,,2020,1,January,276,0,7
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2017,4,April,"3,143",0,9
B01145,ULTRA RADIO DISP INC,,2019,3,March,"29,244",0,236
B02925,SIGNATURE BLACK CAR LLC,,2021,1,January,438,0,25
B03047,"STS LUXURY, INC",,2018,9,September,"2,674",0,36
B03217,RRD TRANSPORTATION INC,,2019,5,May,1,0,1
B02253,"CRESTWOOD CAR & LIMO SVC,LTD",,2020,8,August,91,0,7
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2021,7,July,"5,462",0,26
B02704,SPRINGFIELD CAR SERVICE INC,,2017,9,September,845,0,12
B02762,SHOWTIME TRANSPORTATION CORP.,,2018,7,July,"1,723",0,20
B03020,5J TRANSPORTATION INC.,,2021,2,February,722,0,6
JUNO,JUNO,JUNO,2017,2,February,"722,593",0,"15,102"
B01801,SHUTTLEUP LLC,HENRY LIMOUSINE,2019,1,January,224,0,9
B01288,NEW ELEGANTE CAR SVC INC,ELEGANTE,2016,1,January,291,0,58
B00531,"FRIENDLY BEST-WAY TRANSPORTATION, INC.",,2016,5,May,"2,640",0,14
B01340,UNICAR COMPANY INC,,2020,9,September,"7,805",0,47
B01745,AZUAY CORPORATION,CARIBE CAR SERVICE,2019,9,September,"1,517",0,9
B02461,NEW HEAVEN RADIO DISPATCH CORP,,2018,9,September,"6,660",71,79
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2017,8,August,"1,243",0,14
B00221,PROFESSIONAL CAR SERVICE INC,,2021,6,June,"5,414",0,40
B02254,"FINESSE GROUP LIMOUSINE,INC.",,2018,7,July,"1,336",0,8
B02144,"SILVER STAR LIMOUSINES, INC.",,2020,7,July,160,0,5
B00647,KISS CAR SERVICE INC,,2016,1,January,"90,191",0,419
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2017,11,November,"10,727",0,69
B01424,EAGLE CAR & LIMO LTD.,,2020,3,March,82,0,1
B01109,UNITED EXP C/L SVCE,,2017,6,June,"6,216",0,71
B02861,ELTRI CAR SERVICE INC,,2017,10,October,"1,631",0,9
B01009,UNITED LIMO C/M SVC CORP,,2019,3,March,23,0,7
B00932,NATASHAS GRP CAR CORP,,2021,9,September,"1,597",0,6
B02248,HYBRID LIMO EXPRESS INC.,,2018,2,February,"1,704",0,8
B00222,"REYNO CAR SVC, INC.",,2017,12,December,"2,594",0,17
B02339,SEDANZ INC.,,2018,5,May,238,0,7
B00281,"VEE CEE LIMOUSINE SERVICE, INC",NOSTRAND CAR SVCE,2015,5,May,"3,243",0,15
B02846,DLS TRANSPORTATION CORP.,,2020,8,August,"3,679",0,27
B01196,DIPLO RAD DISP INC,,2021,9,September,"8,110",0,47
B02736,TRINITY CAR SERVICE INC,,2020,1,January,601,0,7
B00385,DELINCE CAR LIVERY SERVICE CORP.,WHITE TOP CAR SERVICE,2017,2,February,"1,716",0,31
B01196,DIPLO RAD DISP INC,,2018,2,February,"9,313",0,78
B02751,RELIANCE GROUP INC,,2020,1,January,174,0,13
B02881,DIANE CAR AND LIMO SERVICE LLC,,2019,8,August,"6,493",0,34
B02784,SMILE TRANSPORTATION GROUP INC,,2016,4,April,"4,500",0,15
B02637,ROOSEVELT CAR & LIMO INC.,,2016,2,February,279,0,10
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,2017,3,March,"1,322",0,41
B01979,DREAMLAND CAR & LIMO.SVC INC.,,2015,4,April,10,0,4
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,,2019,6,June,"3,717",0,17
B02055,"MONTAGUE MANAGEMENT SERVICES, INC.",PROMINENT CAR & LIMO,2017,8,August,373,0,2
B00975,"T.J.Q. CAR SERVICE, INC.",QUALITY CAR SVCE,2019,3,March,986,0,8
B02997,KALUMA TRANSPORTATION GROUP INC.,,2021,4,April,41,0,14
B03074,BLACKBIRD WORLDWIDE CORP,,2020,1,January,310,0,11
B01777,PREMIUM RADIO DISP & MULTI SVC,,2019,5,May,"10,084",0,77
B03098,USA DRIVERS GROUP INC.,,2018,8,August,597,0,6
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",,2020,2,February,100,0,6
B03285,FLUSHING LIMOUSINE TRANSPORTATION SERVICE CORP.,,2021,7,July,"9,099",0,41
B02532,COZY RIDE LIMOUSINE INC,COZY TRANSIT,2017,6,June,"2,833",0,16
B01391,ROSE 'N' DALE C/S INC,,2017,11,November,"1,806",0,10
B01176,SANTO DOMINGO CAR LIMO SERVICES INC,,2016,1,January,"16,234",0,79
B01200,NEW YORK APPLE CAR SERVICE INC,N Y LIMO & CAR SVCE,2016,12,December,"5,829",0,32
B02963,GULF LUXURY INC,,2019,2,February,126,0,3
B01468,MEGA RADIO DISPATCHER INC,,2016,1,January,"32,217",0,190
B01843,"VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.",VINCENT LIMOUSINE,2020,4,April,52,0,6
B02747,LEGEND LUXURY LIMO INC.,,2018,7,July,"2,741",0,33
B00608,SUMMIT CORPORATE CAR INC.,,2019,9,September,"1,080",0,27
B02913,DAT TRANSPORTATION INC.,,2019,11,November,80,0,7
B03282,HOLY TRANSPORTATION CORP.,,2021,6,June,848,0,23
B02984,GRAND PRIX TRANSPORTATION LLC,,2018,3,March,38,0,4
B02913,DAT TRANSPORTATION INC.,,2016,12,December,181,0,8
B02971,"ULTRA BLACK CAR TRANSPORTATION, CORP.",,2021,5,May,314,0,59
B03060,EASTLAND BLACK CARS CORP,,2018,12,December,"20,297",0,96
B02217,PCS LIMOUSINE INC.,,2015,5,May,668,0,14
B02416,"NEW STORM CAR SERVICE, INC.",,2016,2,February,"9,309",0,16
B02787,SEMPERIDE LLC,,2021,7,July,33,0,2
B01625,GLOBE CAR SERVICE INC,,2018,5,May,"1,102",0,5
B01351,HADERECH CAR SERVICE INC,,2016,4,April,319,0,3
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2019,12,December,130,0,10
B03171,HIGHLAND TRANSPORTATION MANAGEMENT CORP.,,2020,3,March,"5,106",0,66
B03111,"SELECT TRANS,INC",,2020,10,October,408,0,7
B02360,BRIDGES LIMOUSINE INC,EXCELLENT LIMOUSINE,2018,5,May,135,0,7
B00706,"VIC & BAY CAR SERVICE, INC",DEJOY'S RED TOP,2020,10,October,"10,423",0,26
B00692,"CHEERS DISPATCH,INC.",SEVENTH AVE CAR SERVICE,2019,9,September,"2,684",0,13
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2020,7,July,15,0,1
B03023,HERMANY LIMO TRANSPORTATION LLC,,2020,6,June,887,0,8
B01346,ARECIBO C/S INC,,2017,8,August,"19,456",0,156
B00653,ROYAL CAR & LIMO SERVICE INC.,,2018,6,June,803,0,5
B02599,CMS LIMO INC.,,2021,3,March,8,0,2
B01124,COOPERATIVA CLBNA DE CON INC,,2019,5,May,"3,352",0,33
B00160,JAFFA CAR & LIMO SVC INC,,2021,3,March,"1,704",0,12
B02823,AAA FAMILY LIMOUSINE SERVICE INC,,2018,3,March,20,0,3
B02689,OCS LIMO CORP.,,2015,6,June,56,0,5
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,2021,9,September,339,0,11
B02026,A RIDE FOR ALL LLC,,2020,5,May,5,0,1
B01346,ARECIBO C/S INC,,2017,3,March,"27,003",0,165
B02120,HARRISON GLOBAL LLC,BOSTON COACH,2018,2,February,"5,140",0,103
B03173,ABIAN TRANSPORTATION INC.,,2021,6,June,62,0,4
B00965,BEN JEVO MGT. INC.,NEWPORT CAR SERVICE,2016,11,November,"11,180",0,55
B01432,TOVAR TRANSPORTATION INC,,2016,9,September,"6,223",0,27
B01529,J.I.G. TRANSPORT CORP.,ECKFORD CAR SERVICE,2017,2,February,"1,164",0,19
B03085,W DIAMOND LIMO INC,,2019,1,January,156,0,24
B02534,DV LUXURY TRANSPORTATION CORPORATION,,2018,6,June,"6,632",0,49
B00446,COMMUNICAR INCORPORATED,,2018,7,July,"3,423",0,85
B01061,DAT RADIO DISP INC,,2019,4,April,"18,983",0,89
B01437,MERENGUE LIMO & C/S INC,,2021,6,June,"17,873",0,96
B02389,"EMBARQUE N.Y., INC.",,2017,8,August,629,0,11
B02550,AGAPE LUXURY CORP.,,2016,6,June,"31,554",0,362
B02391,"BAYRIDGE EXPRESS, INC",,2017,12,December,590,0,13
B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,2021,3,March,"1,568",0,19
B01639,HIGH CLASS LIMO CAR SVCE CORP,,2017,6,June,"14,868",0,243
B02550,AGAPE LUXURY CORP.,,2017,9,September,"32,245",0,335
B01336,BAY EXPRESS CORP.,,2016,4,April,"5,143",0,29
B00948,510 CAR SERVICE CORP,,2019,3,March,"4,599",0,30
B01984,NY 88 EXPRESS CORP.,,2018,3,March,"29,539",0,149
B00222,"REYNO CAR SVC, INC.",,2018,12,December,"1,381",0,11
B02848,V R WORLDWIDE INC,,2016,9,September,59,0,5
B02917,C & A BLACK CAR CORP.,,2020,7,July,"1,083",0,25
B01145,ULTRA RADIO DISP INC,,2016,1,January,"31,880",0,166
B00221,PROFESSIONAL CAR SERVICE INC,,2017,8,August,"7,173",0,84
B01623,JAMAICA EXPRESS CAR SERVICE INC.,SUNSHINE CAR SERVICE,2017,5,May,"2,038",0,8
B02315,LA MORENITA CAR LIMO SERVICE INC,,2018,4,April,"3,045",0,13
B02401,NORTHSIDE BK LLC,,2019,8,August,"3,241",0,53
B02823,AAA FAMILY LIMOUSINE SERVICE INC,,2018,11,November,22,0,3
B01009,UNITED LIMO C/M SVC CORP,,2018,7,July,483,0,10
B02067,"GROUP AMERICAR TRANSPORTATION,LLC.",,2016,4,April,"5,293",0,85
B02860,EVERY WHERE LIMO SERVICE INC.,,2021,8,August,180,0,12
B02180,PEGASUS TRANSPORT SERVICE INC.,,2019,9,September,18,0,3
B02288,SAFARI TRANSPORTATION INC.,,2015,11,November,276,0,9
B02841,"SKYWAY EXECUTIVE SERVICE, INC",,2018,11,November,336,0,10
B02767,KISMET INTERNATIONAL INC.,,2016,10,October,180,0,11
B01644,MUSIC EXPRESS/N.Y. INC,,2021,5,May,540,0,25
B02613,NYC STAR LIMOUSINE & CAR SERVICES CORP.,NYS CAR SERVICE,2017,3,March,"5,404",0,28
B02925,SIGNATURE BLACK CAR LLC,,2018,4,April,320,0,14
B01417,NESHER EXPRESS CAR SERVICE 2 INC.,,2016,4,April,"3,356",0,19
B03060,EASTLAND BLACK CARS CORP,,2021,9,September,"7,421",0,37
B03008,CROWN CAR & LIMO SERVICE INC.,,2017,5,May,63,0,5
B01525,NORTHSIDE BK LLC,,2017,11,November,"5,559",0,113
B02163,JUNIORS EXPRESS CAR SERVICE INC.,,2018,4,April,837,0,9
B03074,BLACKBIRD WORLDWIDE CORP,,2019,9,September,430,0,11
B02995,"ACCREDITED LIMOUSINE SERVICE, LLC",,2017,5,May,103,0,9
B02898,SANO CAR LLC,,2020,4,April,"1,748",0,9
B01980,"READY TO ROLL TRANSPORTATION, INC.",,2020,1,January,286,0,11
B02989,GOOD FRIENDS CAR SERVICE INC,,2019,12,December,"1,585",0,20
B02138,"GUADALUPANA CAR LIMO, INC",,2015,7,July,"6,515",0,26
B01124,COOPERATIVA CLBNA DE CON INC,,2017,1,January,"9,474",0,57
B00296,PRIME TIME TRANS. INC,,2021,7,July,166,0,66
B02860,EVERY WHERE LIMO SERVICE INC.,,2018,10,October,217,0,15
B01768,NEW SUPERIOR RADIO GRP CORP,,2019,6,June,"11,236",0,80
B02408,"PETER EXECUTIVE LIMOUSINE, CORP",,2016,3,March,107,0,8
B03061,BLUE EAGLE TRANSPORTATION SERVICES CORP,,2018,11,November,702,0,18
UBER,UBER,UBER,2021,8,August,"10,194,413",0,"51,069"
B01367,"ROYAL DISPATCH SERVICES, INC.",EXECUTIVE CARS,2019,7,July,"2,683",0,66
B03016,BEST DEAL BLACK INC.,,2019,4,April,"27,080",0,145
B02658,ASCONA CAR SERVICE INC.,,2016,2,February,209,0,4
B00821,ATLANTIC CAR SVCE,,2017,4,April,"23,666",0,109
B00882,U N C CAR & LIMO SERVICE,,2017,4,April,474,0,21
B03128,RIDE SMART CORP.,,2019,9,September,829,0,11
B02050,"MAZIN  CAR & LIMO SVC., LLC",,2017,12,December,"2,850",0,10
B02965,ORION LUXURY CORP,,2019,1,January,723,0,13
B02573,SUNSET PARK CAR SERVICE INC,,2019,6,June,"2,696",0,10
B01821,EMPIRE TRANSPORTATION SERVICE INC.,,2015,9,September,"1,243",0,15
B01176,SANTO DOMINGO CAR LIMO SERVICES INC,,2021,6,June,894,0,8
B01734,AMERICAN DREAM CAR SERVICE INC.,,2016,8,August,123,0,2
B01727,"CHAUFFEUR SERVICES, INC.",NICE GUYS LIMO,2017,3,March,28,0,2
B02903,JFK LUXURY LIMOUSINE INC,,2019,6,June,703,0,19
B03284,MYLE WORLDWIDE INC,,2021,5,May,"8,790",0,118
B01013,AMERICANA TRANSPORTATION LLC,,2017,2,February,"1,195",0,6
B02167,MADISON LIMOUSINE INC,,2018,11,November,77,0,5
B00727,RECHEV OF BROOKLYN INC,,2018,11,November,"1,435",0,5
B03100,MORELOS CAR SERVICE INC.,,2019,7,July,780,0,8
B02096,"CET GROUP, INC",,2016,8,August,407,0,35
B00255,CAUTIOUS CARS CORP,,2021,9,September,31,0,3
B02838,THA MAYA CAR SERVICE INC,,2017,9,September,447,0,10
B02004,METROPOLITAN MULTIPLEX CAR SERVICE CORP.,,2016,2,February,"6,047",0,29
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2019,7,July,762,0,11
B02717,ZOOM CAR SERVICE INC.,,2016,3,March,"1,103",0,4
B02675,FRIELECH CAR & LIMO SERVICE INC,15TH AVENUE CAR SERVICE,2015,9,September,12,0,4
B02795,LIMO SEVEN TRANSPORTATION INC,,2017,12,December,"6,342",0,37
B02101,EXEC TRANSPORT INC,EAST COAST WORLDWIDE LIMOUSINE,2016,10,October,"7,925",0,232
B03080,AMBAR TRANSPORTATION INC.,,2021,7,July,"3,595",0,39
B00653,ROYAL CAR & LIMO SERVICE INC.,,2018,5,May,839,0,8
B00888,ACE C/L SVCE INC,,2015,4,April,"3,191",0,52
B02546,X RADIO DISPATCHER INC.,,2015,10,October,659,0,4
B02944,SCORPIO FIVE STAR CAR & LIMO SERVICE INC,,2018,11,November,"1,276",0,6
B01467,NEW EXPERIENCE #1 INC,,2015,7,July,"21,336",0,99
B00639,ROCAPULCO CAR SERVICE INC.,,2018,9,September,"2,572",0,10
B02667,LEON LUXURY LIMO INC,,2016,2,February,28,0,5
B00255,CAUTIOUS CARS CORP,,2020,1,January,229,0,12
B03028,CASTILLO CAR & LIMO INC,,2019,9,September,909,0,8
B02103,A & S LIMOUSINE SERVICE CORP,,2021,4,April,579,0,3
B00310,WATSON CAR SERVICE INC.,,2019,2,February,"18,118",0,83
B00647,KISS CAR SERVICE INC,,2018,8,August,"45,630",0,206
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2017,5,May,"6,088",0,87
B02613,NYC STAR LIMOUSINE & CAR SERVICES CORP.,NYS CAR SERVICE,2020,10,October,367,0,2
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2016,7,July,"22,051",0,154
B03320,LIMOLINK INCORPORATED,LIMOLINK NY,2021,3,March,307,0,9
B01721,W.K. CAR & LIMO SERVICE INC,,2016,5,May,"6,623",0,43
B00009,T-D MAINTENANCE,FOUR ONES CAR SERVICE,2017,10,October,"7,537",0,52
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,,2020,4,April,319,0,48
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2021,8,August,"1,492",0,10
B02217,PCS LIMOUSINE INC.,,2018,10,October,458,0,9
B01406,GOTHAM CAR SERVICE INC.,LEGEND CAR SERVICE,2017,3,March,658,0,9
B03064,AP LUXURY LIMOUSINE INC,,2018,9,September,353,0,7
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2015,12,December,"7,576",0,69
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,2015,11,November,52,0,19
B02110,"OPTIMUM CAR & LIMO, INC.",,2015,7,July,"2,766",0,10
B01424,EAGLE CAR & LIMO LTD.,,2019,8,August,253,0,2
B02794,ASAP LUXE INC,,2020,12,December,"33,842",0,185
B00937,RIVERSIDE RADIO DISPATCHER,,2019,10,October,"23,823",0,125
B00170,EMUNAH CAR SERVICE INC,,2016,5,May,"1,270",0,7
B01730,LUCKY EXPRESS CORPORATION,GOOD LUCK CAR SVCE,2017,1,January,"12,870",0,127
B02998,GENESIS LUXURY TRANSPORTATION CORP.,,2019,8,August,"6,308",0,29
B02288,SAFARI TRANSPORTATION INC.,,2016,7,July,299,0,8
B01263,"RACHEL'S CAR SERVICE,INC.",,2016,6,June,"6,193",0,18
B02410,"POLO LIMOUSINE, CORP.",,2016,7,July,"1,385",0,43
B02841,"SKYWAY EXECUTIVE SERVICE, INC",,2017,2,February,421,0,17
B01309,ACME LIMOUSINE LLC,ARROW TRANSPORTATION,2019,2,February,244,0,17
B01644,MUSIC EXPRESS/N.Y. INC,,2019,11,November,"1,753",0,49
B02133,"TWR CAR & LIMO, INC.",,2021,9,September,"6,940",0,75
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2021,5,May,"5,571",0,26
B00381,BELL RADIO INC,,2018,5,May,"4,936",0,100
B02501,"EAST HANOVER AUTO SALES, INC.",MY LIMOUSINE SERVICE,2019,6,June,40,0,7
B01779,APEX CAR & LIMO SVCE INC,,2020,1,January,322,0,23
B02653,NEW COLLEGE CAR SVCE INC,,2018,8,August,"10,373",0,56
B01876,QUALITY EXECUTIVE LIMOUSINE L.L.C,,2017,7,July,11,0,2
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2018,7,July,"47,594",0,582
B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,NYMEX CAR SERVICE,2020,4,April,831,0,26
B02060,AMERICAN LIMOUSINE LLC,FLYTE TYME WORLDWIDE/ADDISON LEE/TRISTAR,2015,8,August,609,0,56
B00056,TRANSIT PRIVATE CAR SERVICE INC.,,2017,3,March,"3,713",0,42
B02825,GUADALUPANA II CAR & LIMO INC,,2019,12,December,"3,626",0,19
b00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2016,9,September,"1,687",0,10
B03057,PROSPECT LUXURY CAR SERVICE,,2021,5,May,175,0,1
B01239,BEST DEAL PVT C/S INC,BEST DEAL DOMINICAN C/S INC,2021,7,July,"27,005",0,153
B01467,NEW EXPERIENCE #1 INC,,2018,12,December,"4,805",0,29
B01061,DAT RADIO DISP INC,,2021,2,February,"7,061",0,50
B02003,"AVALON CORPORATE CAR,INC.",,2016,6,June,"3,530",0,103
B01452,AREAS TRANSP INC,,2017,4,April,"3,460",0,13
B02838,THA MAYA CAR SERVICE INC,,2021,5,May,921,0,9
B01341,A NEW DAY RAD DISP INC,,2016,10,October,"8,384",0,55
B02725,KIRIN TRANSPORTATION INC,,2015,12,December,"1,831",0,29
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2019,8,August,"4,987",0,26
B01625,GLOBE CAR SERVICE INC,,2017,2,February,"1,894",0,5
B00948,510 CAR SERVICE CORP,,2016,4,April,"26,142",0,134
B02739,TRAXLINE CAR SERVICE INC.,,2019,5,May,450,0,9
B00225,DELANCEY TRANSPORTATION INC.,,2020,1,January,"3,493",0,27
B00310,WATSON CAR SERVICE INC.,,2015,2,February,"41,859",0,173
B01341,A NEW DAY RAD DISP INC,,2016,9,September,"8,340",0,56
B02972,BLESSING TRANSPORTATION GROUP INC,,2017,10,October,466,0,7
B02687,ECO RIDE INC.,ELECTRIC BLUE CAR SERVICE,2017,4,April,"1,297",0,8
B02784,SMILE TRANSPORTATION GROUP INC,,2016,9,September,"5,839",0,20
b02657,MALCOLM LIMO EXPRESS CORP.,,2016,6,June,597,0,27
B02437,"EXCELLENT CAR & LIMO SERVICE, INC.",,2017,4,April,"43,529",0,183
B01088,PAISA 2 CAR  AND LIMOUSINE SERVICE INC,,2018,9,September,230,0,3
B00039,BERMUDA LIMOUSINE SERVICE INC.,,2018,8,August,"1,964",0,36
B02686,STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.,,2018,9,September,141,0,13
B02651,SAROS TRANSPORTATION GROUP INC.,,2018,3,March,233,0,18
B01045,CAPRICE CAR SERVICE NO.2 INC.,,2018,12,December,"2,427",0,14
B00014,NY ONE CORP CAR INC,,2017,10,October,"7,203",0,146
B02901,GALLANT LUXURY SERVICE CORP.,,2020,3,March,"1,100",0,11
B02612,GOLDEN LUXURY TRANSPORTATION INC.,,2017,4,April,150,0,5
B02429,SEAGULL RIDE CORP,,2020,2,February,"2,972",0,8
B02252,ASIANA LIMOUSINE INC.,,2016,5,May,4,0,1
B01529,J.I.G. TRANSPORT CORP.,ECKFORD CAR SERVICE,2015,9,September,"1,020",0,7
B01259,THE NEW BROOKLYN C/S INC,,2016,5,May,"26,315",0,74
B01546,BELLE-ROCK OF BEACH CHANNEL INC.,,2015,10,October,"2,300",0,11
B02892,SEAMAN EXPRESS CORP.,,2020,5,May,10,0,3
B01726,SUPER CLASS RADIO DISP INC,,2017,8,August,"15,001",0,104
B02229,NEW FAT INC.,ELEGANTE,2019,6,June,"1,735",0,24
B01349,CAPRICORN LIMO SVC INC,,2016,5,May,"1,083",0,28
B02794,ASAP LUXE INC,,2019,11,November,375,0,4
B02762,SHOWTIME TRANSPORTATION CORP.,,2017,1,January,"1,717",0,14
B02426,TRISTAR SERVICES (US) INC.,TRISTAR WORLDWIDE CHAUFFEURED SERVICES,2016,10,October,"1,226",0,28
B02418,PLUSH SERVICES CORP,,2015,11,November,145,0,12
B02537,ALLTOWN LIMO CORP.,,2017,4,April,"8,340",0,104
B02320,GDS TRANSPORTATION CORP.,UPPER CAR SERVICE,2019,1,January,"1,262",0,14
B02437,"EXCELLENT CAR & LIMO SERVICE, INC.",,2016,1,January,"43,756",0,212
B00272,BIG APPLE CAR INC,,2017,4,April,"4,974",0,138
B02634,VETERANS RADIO DISPATCHER CORP.,,2021,6,June,"3,524",0,23
B01626,LA NUEVA QUISQUEYA C/S INC,,2018,6,June,"27,790",0,110
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2018,2,February,"3,261",0,9
B02814,BELL LX INC,,2017,7,July,"4,302",0,16
B00623,MANHATTAN INT'L LIMO NETWORK LLC,,2015,9,September,419,0,9
B03263,RITZY TRANSPORTATION CORP.,,2020,12,December,498,0,14
B02463,MORENITA EXPRESS CAR SERVICE INC.,,2017,8,August,323,0,8
B01527,NEW FAMILY RAD DISP INC,,2019,7,July,"2,316",0,23
B00345,MARTIN'S BELLE HARBOR CAR SERVICE,,2017,8,August,203,0,5
B00350,CHAMPION CAR & LIMO SVC. INC.,,2019,3,March,"3,871",0,19
B01222,ANDREA CAR SVCE INC,,2015,4,April,34,0,7
B02782,NEW APP CAR & LIMO INC,,2020,12,December,"1,706",0,15
B02517,LOS PAISANOS LUXURY C/S INC.,,2021,1,January,128,0,4
B01339,R C AUDUBON SVC INC,,2021,6,June,"5,417",0,45
B02463,MORENITA EXPRESS CAR SERVICE INC.,,2017,10,October,673,0,7
B01700,LINDEN EXPRESS CAR SERVICES INC.,,2016,1,January,"1,410",0,14
B02505,TRELAWNY CAR SERVICE INC,,2018,10,October,"2,411",0,13
